sample_code;14:00;15:00;16:00;16:1+iso-17:0;cis-9-16:1;17:00;17:1+16:2;18:00;cis-9-18:1;cis-11-18:1;18:2n-6;20:00;18:3n-3;20:01;18:4n-3;20:3n-6;22:00;20:4n-6;20:4n-3;20:5n-3;24:01:00;22:5n-6;22:5n-3;22:6n-3;total Fatty acids
118;1,731;0,279;13,262;0,409;2,505;0,357;0,253;3,658;9,874;2,582;0,523;0,134;0,376;0,95;0,154;0,106;0,031;1,445;1,62;3,899;1,083;0,193;1,681;9,022;56,401
123;1,402;0,255;13,715;0,347;2,151;0,322;0,287;4,035;9,677;2,356;0,506;0,129;0,267;0,746;0,101;0,064;0,045;1,686;1,213;3,677;1,337;0,333;1,922;10,492;57,291
146;1,984;0,446;14,763;0,456;2,793;0,388;0,339;4,202;9,937;2,458;0,512;0,123;0,247;0,799;0,127;0,126;0,07;1,457;1,246;3,759;1,15;0,259;1,947;9,358;59,238
114;3,082;0,456;19,791;0,57;3,752;0,41;0,42;4,426;15,621;3,739;0,74;0,141;0,517;1,366;0,238;0,116;0,074;1,513;2,227;5,007;1,226;0,443;3,005;13,631;82,952
161;1,683;0,319;13,706;0,346;2,329;0,35;0,227;3,733;9,813;2,274;0,543;0,139;0,325;0,747;0,157;0,109;0,036;1,773;1,42;4,044;1,11;0,304;1,673;9,615;57,029
164;1,688;0,287;14,243;0,388;2,461;0,339;0,209;3,841;10,3;2,582;0,52;0,13;0,408;0,859;0,173;0,094;0,052;1,644;1,745;3,894;1,367;0,169;1,899;10,515;60,219
172;0,672;0,164;8,464;0,181;1,102;0,212;0,106;2,435;5,27;1,259;0,266;0,085;0,113;0,448;0,031;0,053;0,033;1,056;0,55;2,334;0,716;0,199;1,278;7,187;34,242
173;-0,06;-0,016;-0,875;-0,018;-0,123;-0,021;-0,012;-0,278;-0,617;-0,137;-0,03;-0,01;-0,015;-0,041;-0,006;-0,006;-0,003;-0,125;-0,073;-0,268;-0,087;-0,026;-0,13;-0,761;-3,739
174;1,627;0,298;14,185;0,332;2,366;0,328;0,233;3,277;8,951;2,098;0,482;0,145;0,298;0,757;0,086;0,06;0,05;1,432;0,914;3,598;1,058;0,309;2,044;8,522;53,676
185;0,95;0,21;10,886;0,315;1,671;0,292;0,152;3,566;8,139;2,033;0,404;0,109;0,242;0,592;0,072;0,061;0,022;1,6;0,791;3,125;1,199;0,18;1,777;8,721;47,383
157;0,301;0,096;6,448;0,129;0,691;0,124;0,062;2,163;3,53;0,771;0,199;0,078;0,1;0,208;0,029;0,042;0,042;1,164;0,532;2,263;0,85;0,147;1,02;6,579;27,825
191;0,425;0,144;7,874;0,153;0,98;0,28;0,13;3,196;4,968;1,165;0,315;0,145;0,097;0,326;0,031;0,031;0,033;2,107;0,521;2,617;1,279;0,254;1,042;8,2;36,409
205;1,513;0,273;13,217;0,321;2,204;0,345;0,226;3,573;9,399;2,174;0,421;0,101;0,326;0,688;0,112;0,053;0,048;1,395;0,968;3,262;1,02;0,339;1,707;9,177;53,02
214;0,413;0,152;7,517;0,221;0,905;0,231;0,14;2,815;4,567;1,172;0,25;0,128;0,136;0,241;0,049;0,068;0,05;1,412;0,604;2,98;1,27;0,148;1,127;7,66;34,381
220;-1,355;-0,253;-10,813;-0,308;-2,295;-0,252;-0,229;-2,538;-7,866;-2,121;-0,474;-0,087;-0,368;-0,604;-0,152;-0,074;-0,056;-0,884;-1,152;-2,886;-0,846;-0,197;-1,542;-7,229;-44,886
225;0,296;0,126;5,675;0,23;0,708;0,212;0,104;2,446;3,296;1,225;0,237;0,085;0,061;0,153;0,027;0,078;0,049;1,265;0,448;2,979;0,935;0,166;0,97;6,035;28,019
227;1,148;0,189;10,432;0,255;2,742;0,225;0,257;3,364;6,265;1,945;0,526;0,121;0,271;0,459;0,097;0,088;0,027;1,046;0,747;3,924;1,027;0,207;1,934;8,005;45,475
231;0,471;0,141;7,688;0,204;0,925;0,215;0,136;2,684;5,193;1,258;0,228;0,121;0,111;0,469;0,041;0,033;0,055;1,409;0,464;2,537;1,103;0,201;1,083;7,242;34,195
235;0,797;0,186;7,499;0,252;2,836;0,256;0,269;3,055;4,025;1,861;0,644;0,175;0,28;0,21;0,107;0,138;0,059;1,867;0,61;5,062;1,103;0,177;1,622;6,447;39,764
112;1,784;0,386;15,747;0,377;2,653;0,363;0,343;4,057;10,45;2,73;0,552;0,121;0,31;0,832;0,081;0,082;0,052;1,576;1,255;4,065;1,108;0,429;2,322;10,507;62,467
147;0,994;0,21;10,497;0,277;1,666;0,253;0,162;3,085;7,147;1,662;0,334;0,087;0,241;0,587;0,087;0,087;0,04;1,352;0,995;2,881;1,096;0,196;1,479;8,581;44,147
150;1,336;0,267;14,473;0,371;2,164;0,335;0,233;4,428;9,945;2,508;0,533;0,153;0,344;0,8;0,103;0,098;0,071;1,791;1,423;3,939;1,387;0,271;2,224;10,997;60,49
169;1,029;0,238;12,616;0,325;1,604;0,262;0,181;3,972;7,794;2,232;0,43;0,126;0,236;0,559;0,077;0,085;0,057;1,488;1,146;4,343;1,397;0,232;2,153;10,981;53,741
184;1,504;0,286;13,851;0,349;2,216;0,277;0,209;3,608;9,204;2,105;0,495;0,122;0,327;0,777;0,166;0,106;0,057;1,519;1,563;3,512;1,264;0,22;1,649;9,227;54,837
186;0,926;0,185;10,56;0,264;1,853;0,235;0,146;3,166;7,233;1,854;0,395;0,123;0,266;0,512;0,103;0,074;0,087;1,53;0,954;3,372;1,123;0,187;1,527;8,352;45,333
198;0,639;0,195;8,375;0,19;1,167;0,21;0,129;2,693;5,72;1,34;0,354;0,103;0,193;0,398;0,079;0,071;0,047;1,281;0,93;2,487;1,05;0,223;1,282;7,582;36,756
210;0,671;0,146;9,11;0,229;1,312;0,197;0,2;2,993;6,156;1,565;0,313;0,102;0,201;0,446;0,072;0,074;0,05;1,025;0,924;3,134;1,135;0,179;1,386;7,903;39,683
217;0,35;0,111;6,477;0,2;0,889;0,184;0,122;2,661;4,491;1,011;0,258;0,102;0,153;0,37;0,064;0,07;0,088;1,405;0,544;2,299;1,049;0,205;0,935;7,243;31,51
224;0,753;0,182;11,086;0,347;1,83;0,377;0,22;4,227;7,73;2,114;0,542;0,205;0,217;0,624;0,111;0,102;0,09;2,093;0,942;4,71;1,503;0,212;1,695;10,009;52,332
232;0,933;0,208;10,712;0,327;2,088;0,33;0,266;4,29;6,509;2,223;0,669;0,158;0,438;0,504;0,13;0,156;0,118;2,006;0,862;5,012;1,368;0,162;1,938;9,934;51,723
170;0,728;0,148;11,614;0,268;1,52;0,326;0,151;3,851;7,555;1,736;0,438;0,185;0,18;0,485;0,069;0,072;0,085;1,973;0,97;3,679;1,455;0,238;1,676;11,345;50,912
137;1,081;0,28;14,89;0,298;1,87;0,374;0,262;4,905;9,213;2,265;0,573;0,144;0,241;0,683;0,089;0,135;0,064;2,327;1,774;4,491;1,633;0,322;2,095;14,727;64,891
111;1,868;0,339;17,632;0,393;3,389;0,374;0,274;4,674;12,229;3,316;0,57;0,201;0,361;0,96;0,14;0,098;0,057;2,088;1,651;6,041;1,531;0,262;2,476;12,911;74,212
105;1,418;0,304;16,007;0,363;2,662;0,353;0,219;4,939;10,911;2,681;0,606;0,135;0,377;0,822;0,139;0,094;0,068;2,012;1,558;5,05;1,56;0,274;2,507;13,046;68,462
103;2,441;0,454;22,223;0,518;3,946;0,451;0,356;5,261;14,964;4,015;0,699;0,135;0,446;1,267;0,138;0,121;0,085;1,972;2,016;5,99;1,823;0,43;3,582;16,97;90,72
23;2,802;0,452;21,524;0,54;4,116;0,408;0,369;4,574;14,834;3,773;0,805;0,145;0,648;1,08;0,303;0,106;0,054;1,976;2,708;5,721;1,486;0,408;2,822;16,28;88,335
215;0,935;0,26;13,307;0,372;1,707;0,356;0,189;4,396;7,817;2,396;0,471;0,122;0,187;0,546;0,073;0,076;0,09;2,045;0,989;4,803;1,549;0,293;1,961;12,612;57,969
206;0,893;0,209;12,271;0,297;1,705;0,355;0,205;4,348;7,775;2,369;0,457;0,149;0,197;0,485;0,081;0,059;0,068;1,996;0,838;4,197;1,496;0,367;1,742;10,375;52,991
195;0,603;0,294;11,035;0,281;1,343;0,408;0,16;4,015;6,959;2,019;0,472;0,169;0,287;0,648;0,067;0,097;0,063;2,181;0,872;4,157;1,542;0,308;1,574;10,479;50,172
183;0,477;0,203;9,932;0,187;0,993;0,259;0,132;3,473;5,58;1,338;0,407;0,13;0,119;0,435;0,05;0,093;0,113;1,945;0,829;3,287;1,467;0,311;1,448;9,97;43,451
100;3,415;0,534;25,062;0,709;5,111;0,562;0,513;6,046;20,308;4,542;1,027;0,19;0,906;1,427;0,402;0,151;0,075;2,365;3,224;6,364;2,09;0,327;3,332;15,466;104,87
101;0,697;0,213;9,589;0,219;1,473;0,275;0,191;3,037;7,051;1,568;0,324;0,132;0,19;0,559;0,077;0,054;0,084;1,706;1,017;3,231;1,219;0,21;1,505;8,727;43,424
104;2,344;0,472;21,407;0,499;3,709;0,491;0,404;5,359;14,79;3,421;0,728;0,176;0,57;1,037;0,223;0,13;0,107;2,455;2,215;5,961;1,929;0,356;2,862;14,982;87,02
106;4,321;0,826;26,378;0,986;5,47;0,753;0,732;6,311;17,938;4,847;1,143;0,202;0,687;1,297;0,361;0,179;0,08;2,989;2,838;5,77;1,789;0,657;3,217;16,87;107,317
107;1,806;0,294;13,555;0,353;2,307;0,315;0,244;3,479;8,708;2,226;0,538;0,103;0,285;0,708;0,125;0,104;0,043;1,624;1,456;3,786;1,178;0,363;1,937;10,588;56,252
108;2,45;0,47;22,445;0,562;3,669;0,474;0,338;6,388;16,185;4,29;0,939;0,26;0,613;1,363;0,203;0,217;0,134;2,612;2,686;6,365;2,311;0,262;2,657;14,898;93,196
109;1,409;0,238;16,289;0,359;2,496;0,37;0,249;4,632;11,266;2,633;0,529;0,144;0,249;0,873;0,113;0,115;0,051;2,203;1,548;4,864;2,073;0,269;2,089;12,428;67,823
115;2,897;0,504;21,87;0,542;4,126;0,463;0,431;5,694;16,865;4,482;0,882;0,158;0,732;1,279;0,322;0,106;0,075;2,029;3,025;6,502;1,511;0,293;3,202;14,805;93,322
116;1,726;0,298;19,133;0,45;3,173;0,437;0,314;5,165;13,235;3,712;0,683;0,163;0,502;1,013;0,161;0,112;0,066;2,356;2,112;5,842;1,852;0,333;2,841;14,95;80,911
117;0,633;0,124;6,214;0,165;0,981;0,152;0,096;1,539;4,06;0,894;0,227;0,043;0,13;0,266;0,05;0,037;0,02;0,873;0,61;1,631;0,606;0,117;0,838;4,665;25,101
128;2,729;0,527;21,837;0,676;4,11;0,559;0,473;5,474;16,057;4,447;0,807;0,18;0,644;1,137;0,229;0,139;0,096;2,626;2,458;5,678;2,002;0,421;3,063;15,553;92,38
130;1,024;0,212;13,579;0,336;2,081;0,375;0,18;4,558;9,418;2,737;0,481;0,167;0,228;0,818;0,076;0,102;0,073;2,858;1,264;4,18;1,865;0,253;2,026;11,623;60,61
131;7,178;1,503;70,915;1,491;11,108;1,801;1,416;20,777;46,165;12,406;2,395;0,637;1,336;3,544;0,415;0,677;0,418;10,152;6,93;21,997;6,551;1,563;11,662;59,12;303,493
135;0,587;0,114;5,384;0,134;0,745;0,122;0,11;1,467;3,926;1,059;0,18;0,028;0,126;0,307;0,043;0,032;0,018;0,519;0,573;1,525;0,411;0,1;0,826;4,172;22,555
139;1,506;0,247;16,631;0,365;2,489;0,338;0,318;4,541;11,012;14,221;0,573;0,125;0,323;0,792;0,119;0,11;0,065;1,893;1,766;4,935;1,49;0,316;2,47;14,259;81,309
141;0,655;0,199;12,641;0,255;1,53;0,26;0,185;4,246;8,214;1,785;0,434;0,153;0,201;0,653;0,061;0,107;0,06;2,412;1,207;4,798;2,086;0,233;2,189;13,608;58,238
144;1,962;0,343;16,2;0,369;2,61;0,364;0,261;4,706;11,774;2,639;0,687;0,134;0,447;0,805;0,226;0,118;0,081;1,713;1,994;4,811;1,275;0,275;1,993;12,11;68,228
158;10,683;1,45;68,635;1,563;14,959;1,456;1,422;16,269;55,008;13,596;2,557;0,523;2,26;4,447;0,926;0,431;0,264;6,279;8,805;16,265;4,371;0,734;8,868;43,511;286,779
160;1,082;0,268;12,477;0,248;1,798;0,316;0,199;4,339;8,344;2,08;0,423;0,171;0,171;0,639;0,082;0,097;0,107;2,523;0,993;3,708;1,749;0,344;1,727;11,847;55,899
162;0,74;0,213;11,651;0,317;1,563;0,345;0,21;4,042;7,723;2,04;0,442;0,168;0,184;0,622;0,036;0,096;0,1;2,653;1,014;4,089;1,765;0,229;1,654;10,231;52,603
165;3,504;0,864;33,353;0,994;5,7;0,986;0,789;9,941;23,319;5,109;1,295;0,364;0,63;1,796;0,295;0,366;0,212;5,646;3,183;9,943;3,417;1,064;4,433;24,99;144,063
166;2,26;0,445;20,685;0,473;2,998;0,531;0,336;6,448;13,745;3,367;0,73;0,208;0,421;1,393;0,136;0,138;0,101;2,365;2,219;5,996;1,852;0,395;3,572;16,395;87,669
167;1,137;0,312;12,636;0,292;1,944;0,303;0,248;3,848;8,822;2,23;0,479;0,15;0,21;0,746;0,078;0,094;0,083;2,23;1,224;3,904;1,417;0,294;1,786;11,173;55,99
168;1,732;0,359;16,073;0,385;2,836;0,42;0,304;4,623;11,546;3,495;0,571;0,163;0,346;0,952;0,115;0,109;0,09;2,363;1,6;4,712;1,432;0,319;2,565;12,282;69,709
246;1,105;0,503;19,481;0,807;2,319;0,889;0,42;8,412;9,176;3,848;0,706;0,268;0,272;0,633;0,159;0,174;0,174;4,725;0,767;8,841;3,482;0,734;3,472;20,327;92,68
236;1,971;0,347;13,782;0,385;2,651;0,35;0,281;3,707;10,179;2,543;0,771;0,104;0,607;0,674;0,39;0,076;0,073;1,342;1,536;3,536;1,182;0,236;1,595;8,974;57,572
237;1,529;0,3;11,343;0,337;2,203;0,35;0,284;3,443;6,372;2,081;1,11;0,077;0,856;0,379;0,517;0,084;0,072;1,415;1,086;3,495;1,035;0,26;1,265;7,086;47,187
194;0,725;0,253;12,472;0,338;1,488;0,421;0,156;4,776;7,933;2,485;0,513;0,169;0,198;0,382;0,067;0,085;0,079;2,58;1,136;4,786;1,625;0,377;2,102;12,41;58,296
199;0,664;0,178;5,777;0,17;1,07;0,185;0,156;1,613;3,888;1,184;0,219;0,064;0,122;0,338;0,035;0,048;0,031;0,689;0,557;1,48;0,576;0,176;0,873;4,57;24,777
200;0,718;0,256;10,056;0,28;1,65;0,388;0,214;3,991;6,234;1,769;0,5;0,148;0,44;0,438;0,143;0,13;0,099;2,446;0,84;4,073;1,599;0,255;1,485;9,685;48,001
207;0,338;0,088;4,19;0,145;0,592;0,139;0,066;1,462;2,71;0,871;0,183;0,045;0,077;0,196;0,025;0,037;0,027;0,739;0,383;1,488;0,501;0,103;0,665;3,421;18,603
208;0,265;0,077;4,977;0,184;0,621;0,16;0,042;1,91;3,331;0,852;0,183;0,066;0,071;0,18;0,025;0,049;0,036;1,225;0,393;1,924;0,847;0,121;0,762;4,651;23,123
213;0,614;0,254;9,901;0,307;1,399;0,446;0,193;3,999;6,428;1,698;0,464;0,18;0,218;0,45;0,075;0,132;0,116;2,924;0,795;4,166;1,743;0,315;1,459;10,356;48,892
221;3,544;0,868;36,033;1,111;5,874;1,376;0,626;12,902;25,339;8,365;1,743;0,385;0,67;2,185;0,349;0,356;0,206;6,12;3,988;13,923;4,671;0,804;6,016;32,009;171,024
222;1,154;0,25;11,776;0,36;2,925;0,355;0,292;4,518;7,482;2,747;0,736;0,13;0,327;0,486;0,122;0,116;0,081;1,741;1,075;6,314;1,422;0,224;2,026;10,563;57,602
24;0,05;0,011;0,601;0,014;0,095;0,013;0,007;0,178;0,415;0,1;0,021;0,006;0,014;0,023;0,006;0,004;0,006;0,081;0,06;0,206;0,054;0,012;0,076;0,488;2,557
187;1,034;0,337;15,055;0,362;2,149;0,419;0,207;4,623;9,655;2,483;0,584;0,108;0,445;0,675;0,103;0,111;0,088;2,422;1,149;4,495;2,11;0,414;1,957;13,116;64,245
192;0,505;0,185;7,971;0,253;1,168;0,374;0,227;3,45;4,612;1,218;0,352;0,139;0,239;0,669;0,05;0,081;0,079;2,695;0,381;2,778;1,548;0,321;1,002;8,106;38,766
209;0,349;0,109;5,507;0,152;0,89;0,188;0,094;2,289;3,184;1,1;0,288;0,074;0,105;0,21;0,026;0,049;0,051;1,435;0,289;2,873;0,766;0,163;0,85;4,986;26,189
212;0,652;0,149;5,859;0,128;1,153;0,161;0,108;1,942;3,872;1,117;0,287;0,06;0,144;0,283;0,067;0,057;0,028;0,947;0,599;2,008;0,631;0,132;0,918;5,254;26,653
226;0,441;0,174;8,163;0,279;0,888;0,34;0,114;3,244;4,861;1,653;0,361;0,107;0,134;0,458;0,041;0,06;0,064;1,503;0,667;3,786;1,175;0,166;1,368;7,041;37,524
230;0,23;0,07;4,591;0,085;0,518;0,129;0,046;1,706;2,955;0,651;0,139;0,077;0,066;0,23;0,021;0,041;0,033;0,725;0,351;1,731;0,624;0,126;0,572;4,053;19,793
202;0,506;0,154;9,377;0,207;1,123;0,323;0,145;3,626;5,881;1,488;0,378;0,106;0,147;0,394;0,052;0,088;0,083;1,988;0,764;4,044;1,267;0,296;1,47;9,48;43,7
70;5,055;0,84;42,69;1,153;8,258;0,919;0,865;10,519;33,346;33,346;1,501;0,354;1,134;2,506;0,507;0,278;0,137;4,308;4,805;12,323;3,396;0,659;6,462;33,093;209,928
266;1,715;0,609;19,409;1,842;2,888;1,412;0,501;10,353;10,034;8,954;0,979;0,252;0,237;0,711;0,106;0,287;0,204;5,439;1,062;16,451;3,077;0,642;6,036;18,827;114,399
248;0,609;0,131;6,392;0,185;1,915;0,246;0,176;2,517;2,626;1,638;0,334;0,086;0,082;0,09;0,049;0,098;0,04;1,259;0,296;3,606;0,837;0,167;1,139;5,678;30,389
249;0,36;0,109;5,715;0,172;0,865;0,229;0,088;2,652;2,74;1,169;0,301;0,094;0,165;0,11;0,038;0,077;0,091;1,353;0,348;3,06;0,964;0,139;1,01;6,215;28,262
247;-1,722;-0,58;-19,57;-1,481;-3,377;-1,207;-0,401;-8,604;-10,237;-7,09;-1,139;-0,299;-0,37;-0,734;-0,126;-0,294;-0,229;-4,549;-1,069;-13,121;-2,638;-0,526;-4,765;-17,747;-104,11
258;0,491;0,146;7,921;0,22;0,977;0,256;0,125;3,205;4,965;1,309;0,479;0,084;0,298;0,268;0,104;0,056;0,035;1,322;0,595;2,767;1,255;0,319;1,253;8,177;36,725
264;0,525;0,117;5,615;0,214;1,051;0,216;0,117;2,451;3,249;0,939;0,556;0,109;0,358;0,128;0,156;0,07;0,077;1,616;0,407;2,684;1,018;0,161;0,871;5,096;27,936
268;0,386;0,134;6,84;0,298;0,875;0,23;0,105;2,882;3,954;1,444;0,243;0,097;0,095;0,111;0,022;0,042;0,049;1,434;0,342;2,646;1,269;0,194;0,883;6,088;30,866
276;1,078;0,373;11,106;0,853;2,46;0,836;0,364;4,641;4,965;4,482;0,437;0,109;0,097;0,386;0,132;0,137;0,068;1,992;0,424;6,796;1,083;0,301;3,41;6,754;54,571
269;1,339;0,47;17,829;1,792;2,937;1,266;0,373;9,601;10,052;7,757;0,799;0,306;0,24;0,517;0,061;0,179;0,219;5,38;1,124;12,792;3,403;0,668;5,749;19,451;106,399
267;0,323;0,149;8,558;0,376;0,928;0,407;0,144;4,169;4,964;1,894;0,371;0,172;0,111;0,255;0,024;0,082;0,086;2,447;0,458;4,261;1,768;0,318;1,61;8,732;43,142
255;1,744;0,335;12,851;0,532;3,691;0,537;0,498;5,185;6,116;3,608;0,875;0,184;0,438;0,303;0,168;0,16;0,132;1,83;0,681;7,034;1,832;0,259;2,855;9,926;62,405
253;0,691;0,297;9,771;0,95;1,531;0,743;0,346;4,91;4,744;3,71;0,394;0,147;0,085;0,281;0,039;0,145;0,145;3,031;0,371;6,36;2,064;0,361;3,149;8,535;53,91
250;0,898;0,206;9,23;0,393;1,884;0,424;0,216;4,052;4,212;2,468;0,471;0,137;0,148;0,229;0,048;0,113;0,079;1,794;0,497;5,411;1,543;0,268;2,173;8,204;45,601
26;4,433;0,728;29,997;0,806;5,638;0,746;0,551;6,904;22,378;5,463;1,229;0,187;0,871;1,785;0,397;0,187;0,099;2,484;3,609;7,994;1,972;0,542;3,747;19,84;123,211
27;2,227;0,371;19,732;0,487;3,436;0,454;0,318;5,573;14,631;3,2;0,829;0,2;0,675;1,053;0,223;0,139;0,112;2,324;2,804;5,537;2,071;0,334;2,88;16,039;86,056
45;5,544;0,945;35,802;0,897;7,141;0,789;0,727;7,735;26,212;6,246;1,408;0,22;0,885;2,411;0,532;0,322;0,122;2,956;4,441;9,814;2,474;0,701;4,248;20,761;144,312
47;2,582;0,47;22,138;0,467;3,695;0,494;0,331;5,788;15,393;3,61;0,689;0,135;0,512;1,064;0,192;0,154;0,12;2,078;1,811;7,072;1,967;0,406;3,823;16,909;92,593
53;0,669;0,092;4,377;0,116;0,889;0,106;0,068;1,119;3,61;0,68;0,167;0,042;0,114;0,247;0,044;0,033;0,019;0,483;0,479;1,03;0,408;0,077;0,485;2,392;17,795
64;0,707;0,208;9,51;0,219;1,346;0,257;0,144;2,896;6,059;1,472;0,312;0,113;0,195;0,466;0,066;0,069;0,051;1,516;0,934;3,335;1,23;0,309;1,375;9,004;42,057
69;3,088;0,561;25,476;0,661;5,113;0,617;0,495;5,7;18,546;4,578;0,888;0,188;0,815;1,594;0,364;0,152;0,147;2,394;2,994;6,705;1,878;0,424;3,428;18,907;106,505
74;3,046;0,497;21,658;0,637;4,433;0,473;0,442;4,904;16,927;3,937;0,829;0,13;0,709;1,427;0,344;0,149;0,041;1,71;2,925;6,144;1,622;0,316;3,292;15,814;93,059
76;1,478;0,297;14,096;0,314;2,084;0,321;0,208;3,584;9,257;2,231;0,517;0,12;0,3;0,863;0,11;0,077;0,051;1,847;1,422;4,133;1,68;0,295;2,143;11,282;59,228
86;2,955;0,53;24,697;0,655;4,423;0,459;0,412;6,379;18,875;4,419;0,93;0,222;0,659;1,403;0,31;0,13;0,07;2,41;2,976;8,083;2,291;0,382;3,749;18,776;106,561
88;1,873;0,353;19,018;0,419;2,959;0,397;0,249;5,467;12,923;2,921;0,857;0,168;0,434;0,939;0,167;0,135;0,078;2,223;2,204;5,78;1,791;0,372;2,615;15,809;80,451
