sample_code,14:0,15:0,16:0,16:1+iso-17:0,cis-9-16:1,17:0,17:1+16:2,18:0,cis-9-18:1,cis-11-18:1,18:2n-6,20:0,18:3n-3,20:1,18:4n-3,20:3n-6,22:0,20:4n-6,20:4n-3,20:5n-3,24:1,22:5n-6,22:5n-3,22:6n-3
118,3.068,0.496,23.514,0.725,4.441,0.633,0.448,6.487,17.507,4.578,0.928,0.237,0.667,1.684,0.273,0.188,0.055,2.562,2.872,6.912,1.920,0.342,2.981,15.997
123,2.447,0.445,23.940,0.605,3.754,0.562,0.502,7.043,16.891,4.113,0.884,0.226,0.467,1.303,0.177,0.112,0.078,2.943,2.118,6.418,2.335,0.582,3.356,18.313
146,3.349,0.753,24.921,0.770,4.715,0.656,0.572,7.094,16.775,4.149,0.865,0.208,0.418,1.349,0.214,0.213,0.118,2.460,2.104,6.346,1.941,0.438,3.287,15.798
114,3.715,0.550,23.858,0.687,4.523,0.495,0.506,5.335,18.832,4.508,0.892,0.170,0.623,1.647,0.287,0.140,0.089,1.825,2.685,6.037,1.478,0.534,3.623,16.432
161,2.952,0.559,24.034,0.607,4.083,0.614,0.399,6.546,17.207,3.987,0.952,0.244,0.570,1.310,0.276,0.190,0.064,3.108,2.490,7.091,1.946,0.532,2.933,16.861
164,2.802,0.476,23.652,0.644,4.086,0.562,0.347,6.378,17.104,4.287,0.864,0.216,0.678,1.426,0.287,0.157,0.087,2.729,2.898,6.467,2.270,0.280,3.154,17.461
172,1.963,0.478,24.718,0.528,3.217,0.619,0.309,7.111,15.391,3.677,0.777,0.249,0.331,1.309,0.090,0.156,0.096,3.085,1.607,6.815,2.091,0.582,3.731,20.989
173,1.610,0.415,23.413,0.468,3.297,0.567,0.332,7.447,16.494,3.677,0.815,0.258,0.389,1.084,0.168,0.167,0.073,3.355,1.957,7.168,2.324,0.692,3.479,20.350
174,3.031,0.556,26.428,0.618,4.408,0.610,0.433,6.106,16.675,3.908,0.897,0.271,0.555,1.410,0.160,0.112,0.094,2.669,1.702,6.703,1.972,0.576,3.809,15.877
185,2.006,0.442,22.975,0.666,3.526,0.617,0.321,7.527,17.177,4.291,0.853,0.229,0.510,1.248,0.151,0.130,0.046,3.376,1.670,6.595,2.531,0.379,3.750,18.405
157,1.080,0.343,23.174,0.463,2.482,0.446,0.224,7.773,12.688,2.772,0.717,0.282,0.359,0.748,0.102,0.152,0.152,4.182,1.913,8.134,3.053,0.527,3.664,23.645
191,1.166,0.394,21.627,0.420,2.692,0.768,0.356,8.778,13.644,3.199,0.865,0.397,0.267,0.895,0.084,0.084,0.091,5.787,1.430,7.187,3.514,0.698,2.861,22.522
