nr;datum;Locatie;Methode;Locatie_VA;Gewicht Glasaal;Gewicht maag-darmstelsel;Anorganic Material;Cladocera sp.;Annelida;Polychaete;Isopoda;Diptera sp.;Chironomida sp.;Crustaceae sp.;Cyclopoida sp.;Unidentified sp.;Amphipoda sp.;Calanoida sp.;Copepoda sp.;Harpacticoida sp.;Hexapoda sp.;Coleoptera Larvae;Pennate diatom;Plantae sp.;Stomach
1;10/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,259;0,0089;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
2;10/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,281;0,0102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
3;10/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,176;0,0035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
4;10/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,206;0,005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
5;10/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,264;0,0069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
6;10/03/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,199;0,0055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
7;11/03/2017;PG-KR;Lift Nets;Pumping Station;0,146;0,0041;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
8;11/03/2017;PG-KR;Lift Nets;Pumping Station;0,117;0,0044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
9;11/03/2017;PG-KR;Lift Nets;Pumping Station;0,156;0,0042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
10;11/03/2017;PG-KR;Lift Nets;Pumping Station;0,205;0,0058;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
11;11/03/2017;PG-KR;Lift Nets;Pumping Station;0,196;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
12;17/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,2101;0,0064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
13;17/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,223;0,009;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Food present
14;17/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,25;0,007;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Food present
15;17/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,11;0,003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
16;17/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,26;0,0066;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
17;17/03/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,196;0,0074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
18;17/03/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,236;0,009;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
19;17/03/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,202;0,0072;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
20;17/03/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,182;0,0064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
21;17/03/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,188;0,0075;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
22;17/03/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,201;0,0055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
23;17/03/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,191;0,0035;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
24;17/03/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,135;0,0042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
25;17/03/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,199;0,005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
26;17/03/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,265;0,0079;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Food present
27;17/03/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,158;0,0035;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
28;18/03/2017;PG-KR;Lift Nets;Pumping Station;0,25;0,0069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
29;18/03/2017;PG-KR;Lift Nets;Pumping Station;0,253;0,0052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
30;18/03/2017;PG-KR;Lift Nets;Pumping Station;0,175;0,0038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
