;Date;Location;Location_type;Length;Weight;Pigmentation;Pigmentation_group;Condition_factor
1;4/03/2016;VA_PG_LO_PA;PA;67;200;VIA3;3;0,78
2;4/03/2016;VA_PG_LO_PA;PA;64;200;VIA2;2;0,90
3;4/03/2016;VA_PG_LO_PA;PA;72;300;VIA4;3;0,94
4;4/03/2016;VA_PG_LO_PA;PA;67;200;VIA3;3;0,78
5;4/03/2016;VA_PG_LO_PA;PA;67;300;VIA3;3;1,17
6;11/03/2016;VA_PG_LO_PA;PA;76;358;VIA4;3;0,96
7;11/03/2016;VA_PG_LO_PA;PA;78;394;VIA4;3;0,98
8;11/03/2016;VA_PG_LO_PA;PA;80;425;VIA1;2;0,98
9;11/03/2016;VA_PG_LO_PA;PA;80;510;VIB;4;1,17
10;11/03/2016;VA_PG_RO_PA;PA;66;231;VB;1;0,94
11;11/03/2016;VA_PG_RO_PA;PA;78;383;VIA2;2;0,95
12;11/03/2016;VA_PG_RO_PA;PA;69;266;VIA1;2;0,95
13;11/03/2016;VA_PG_RO_PA;PA;74;320;VIA2;2;0,93
14;11/03/2016;VA_PG_RO_PA;PA;64;174;VIA1;2;0,78
15;11/03/2016;VA_PG_RO_PA;PA;72;371;VIA4;3;1,17
16;11/03/2016;VA_PG_RO_PA;PA;72;364;VIA3;3;1,15
17;11/03/2016;VA_PG_RO_PA;PA;77;353;VIA3;3;0,91
18;11/03/2016;VA_PG_RO_PA;PA;72;330;VIA3;3;1,04
19;11/03/2016;VA_PG_RO_PA;PA;77;351;VB;1;0,90
20;11/03/2016;VA_PG_RO_PA;PA;71;293;VIA1;2;0,96
21;11/03/2016;VA_PG_RO_PA;PA;76;357;VB;1;0,96
22;11/03/2016;VA_PG_RO_PA;PA;65;230;VIA0;1;0,98
23;11/03/2016;VA_PG_RO_PA;PA;74;313;VB;1;0,91
24;11/03/2016;VA_PG_RO_PA;PA;73;290;VIA0;1;0,88
25;11/03/2016;VA_PG_RO_PA;PA;73;344;VIA1;2;1,04
26;11/03/2016;VA_PG_RO_PA;PA;74;360;VIA2;2;1,04
27;11/03/2016;VA_PG_RO_PA;PA;67;300;VIA4;3;1,17
28;11/03/2016;VA_PG_RO_PA;PA;77;368;VIA3;3;0,95
29;11/03/2016;VA_PG_RO_PA;PA;73;339;VB;1;1,02
30;11/03/2016;VA_PG_RO_PA;PA;73;404;VIA1;2;1,22
31;11/03/2016;VA_PG_RO_PA;PA;69;271;VIA1;2;0,97
32;11/03/2016;VA_PG_RO_PA;PA;75;365;VIA1;2;1,02
33;11/03/2016;VA_PG_RO_PA;PA;75;328;VIA1;2;0,91
34;11/03/2016;VA_PG_RO_PA;PA;70;304;VB;1;1,04
35;11/03/2016;VA_PG_RO_PA;PA;65;231;VIA1;2;0,99
36;11/03/2016;VA_PG_RO_PA;PA;71;316;VIA0;1;1,04
37;11/03/2016;VA_PG_RO_PA;PA;74;355;VIA3;3;1,03
38;11/03/2016;VA_PG_RO_PA;PA;72;306;VIA2;2;0,96
39;11/03/2016;VA_PG_RO_PA;PA;67;212;VIA0;1;0,83
40;11/03/2016;VA_PG_RO_PA;PA;73;322;VIA3;3;0,97
41;11/03/2016;VA_PG_RO_PA;PA;75;376;VIA3;3;1,05
42;11/03/2016;VA_PG_RO_PA;PA;70;279;VB;1;0,96
43;11/03/2016;VA_PG_RO_PA;PA;70;303;VB;1;1,04
44;11/03/2016;VA_PG_RO_PA;PA;76;424;VIA0;1;1,14
45;11/03/2016;VA_PG_RO_PA;PA;75;343;VIA3;3;0,96
46;11/03/2016;VA_PG_RO_PA;PA;75;308;VB;1;0,86
47;11/03/2016;VA_PG_RO_PA;PA;69;316;VIA1;2;1,13
48;11/03/2016;VA_PG_RO_PA;PA;72;324;VB;1;1,02
49;11/03/2016;VA_PG_RO_PA;PA;73;351;VIA4;3;1,06
50;11/03/2016;VA_PG_RO_PA;PA;71;250;VIA3;3;0,82
51;11/03/2016;VA_PG_RO_PA;PA;75;378;VIA3;3;1,05
52;11/03/2016;VA_PG_RO_PA;PA;68;302;VB;1;1,13
53;11/03/2016;VA_PG_RO_PA;PA;77;385;VIA3;3;0,99
54;11/03/2016;VA_PG_RO_PA;PA;77;373;VIA4;3;0,96
55;11/03/2016;VA_PG_RO_PA;PA;71;330;VB;1;1,08
56;11/03/2016;VA_PG_RO_PA;PA;74;358;VB;1;1,04
57;11/03/2016;VA_PG_RO_PA;PA;69;304;VIA3;3;1,09
58;11/03/2016;VA_PG_RO_PA;PA;74;317;VIA3;3;0,92
59;11/03/2016;VA_PG_RO_PA;PA;79;376;VIA3;3;0,90
60;11/03/2016;VA_PG_RO_PA;PA;74;372;VIA2;2;1,08
61;11/03/2016;VA_PG_RO_PA;PA;72;318;VIA3;3;1,00
62;12/03/2016;VA_PG_KR;KR;73;332;VIA1;2;1,00
63;12/03/2016;VA_PG_KR;KR;75;341;VIA1;2;0,95
64;12/03/2016;VA_PG_KR;KR;75;406;VIA0;1;1,13
65;12/03/2016;VA_PG_KR;KR;67;263;VIA3;3;1,03
66;12/03/2016;VA_PG_KR;KR;75;298;VIA2;2;0,83
67;12/03/2016;VA_PG_KR;KR;77;352;VIA1;2;0,91
68;12/03/2016;VA_PG_KR;KR;71;349;VIA2;2;1,15
69;12/03/2016;VA_PG_KR;KR;73;385;VIA2;2;1,16
70;12/03/2016;VA_PG_KR;KR;78;380;VIA2;2;0,94
71;12/03/2016;VA_PG_KR;KR;71;335;VIA0;1;1,10
72;12/03/2016;VA_PG_KR;KR;77;463;VIA3;3;1,19
73;12/03/2016;VA_PG_KR;KR;81;345;VIA3;3;0,76
74;12/03/2016;VA_PG_KR;KR;62;194;VB;1;0,96
75;12/03/2016;VA_PG_KR;KR;71;310;VIA3;3;1,02
76;12/03/2016;VA_PG_KR;KR;67;283;VIA1;2;1,11
77;12/03/2016;VA_PG_KR;KR;75;337;VIA3;3;0,94
78;12/03/2016;VA_PG_KR;KR;72;361;VIA0;1;1,14
79;12/03/2016;VA_PG_KR;KR;72;327;VIA3;3;1,03
80;12/03/2016;VA_PG_KR;KR;73;326;VIA1;2;0,98
81;12/03/2016;VA_PG_KR;KR;75;427;VIA1;2;1,19
