"""Week"",""Anorganic.Material"",""Amphipoda.sp."",""Polychaete"",""Copepoda.sp."",""Cladocera.sp."",""Unidentified.sp."",""Harpacticoida.sp."",""Cyclopoida.sp."",""Other"",""Week_total"""
10,0,0,0,0,0,0,0,0,0,0
11,0,0,0.4,0,0,0.6,0,0,0,1
12,0,0,0.111111111111111,0,0,0.555555555555556,0,0,0.333333333333333,1
13,0,0,0,0,0,0.571428571428571,0,0,0.428571428571429,1
14,0,0,0,0,0,1,0,0,0,1
15,0.012987012987013,0,0.012987012987013,0.038961038961039,0,0.0779220779220779,0.012987012987013,0.805194805194805,0.038961038961039,1
16,0.0267857142857143,0,0.00892857142857143,0,0.0357142857142857,0.0267857142857143,0,0.866071428571429,0.0357142857142857,1
17,0.0179372197309417,0,0,0.00896860986547085,0.0358744394618834,0.0224215246636771,0,0.901345291479821,0.0134529147982063,1
18,0.0078740157480315,0,0.047244094488189,0.125984251968504,0.031496062992126,0.0866141732283465,0.015748031496063,0.653543307086614,0.031496062992126,1
19,0.00847457627118644,0,0.0423728813559322,0.101694915254237,0.194915254237288,0.0932203389830508,0.0169491525423729,0.5,0.0423728813559322,1
20,0.0204081632653061,0.0102040816326531,0.0612244897959184,0.0408163265306122,0.255102040816327,0.0918367346938776,0,0.5,0.0204081632653061,1
21,0,0.0808823529411765,0.0661764705882353,0.00735294117647059,0.411764705882353,0.0367647058823529,0.00735294117647059,0.382352941176471,0.00735294117647059,1
